Listening on COM7 @ 460800...
Press Ctrl+C to stop

[BIO] seq=235 | ir[0]=     315 ecg[0]=  4048 | total=70 | crc_err=0
[AUDIO] seq=236 | pcg[0]=    4157 pcg[31]=   -4947 | total=71 | crc_err=0
[BIO] seq=236 | ir[0]=     392 ecg[0]=   486 | total=71 | crc_err=0
[AUDIO] seq=237 | pcg[0]=   -3801 pcg[31]=   -5158 | total=72 | crc_err=0
[BIO] seq=237 | ir[0]=     258 ecg[0]=  2384 | total=72 | crc_err=0
[AUDIO] seq=238 | pcg[0]=     922 pcg[31]=    2032 | total=73 | crc_err=0
[BIO] seq=238 | ir[0]=     194 ecg[0]=  3952 | total=73 | crc_err=0
[AUDIO] seq=239 | pcg[0]=    1465 pcg[31]=    1568 | total=74 | crc_err=0
[BIO] seq=239 | ir[0]=     286 ecg[0]=     0 | total=74 | crc_err=0
[AUDIO] seq=240 | pcg[0]=   -2483 pcg[31]=    -502 | total=75 | crc_err=0
[BIO] seq=240 | ir[0]=     325 ecg[0]=  3952 | total=75 | crc_err=0
[AUDIO] seq=241 | pcg[0]=   -1448 pcg[31]=   -8871 | total=76 | crc_err=0
[BIO] seq=241 | ir[0]=     313 ecg[0]=   460 | total=76 | crc_err=0
[AUDIO] seq=242 | pcg[0]=     625 pcg[31]=    3608 | total=77 | crc_err=0
[BIO] seq=242 | ir[0]=     494 ecg[0]=  2448 | total=77 | crc_err=0
[AUDIO] seq=243 | pcg[0]=    5573 pcg[31]=    3530 | total=78 | crc_err=0
[BIO] seq=243 | ir[0]=     466 ecg[0]=  3952 | total=78 | crc_err=0
[AUDIO] seq=244 | pcg[0]=   -2686 pcg[31]=   -2957 | total=79 | crc_err=0
[BIO] seq=244 | ir[0]=     181 ecg[0]=     0 | total=79 | crc_err=0
[AUDIO] seq=245 | pcg[0]=   -2715 pcg[31]=   -4093 | total=80 | crc_err=0
[BIO] seq=245 | ir[0]=     307 ecg[0]=  3944 | total=80 | crc_err=0
[AUDIO] seq=246 | pcg[0]=   -4524 pcg[31]=    3445 | total=81 | crc_err=0
[BIO] seq=246 | ir[0]=     307 ecg[0]=   368 | total=81 | crc_err=0
[AUDIO] seq=247 | pcg[0]=    2420 pcg[31]=    7087 | total=82 | crc_err=0
[BIO] seq=247 | ir[0]=     426 ecg[0]=  2508 | total=82 | crc_err=0
[AUDIO] seq=248 | pcg[0]=     986 pcg[31]=   -2669 | total=83 | crc_err=0
[BIO] seq=248 | ir[0]=     501 ecg[0]=  3864 | total=83 | crc_err=0
[AUDIO] seq=249 | pcg[0]=   -7410 pcg[31]=   -3958 | total=84 | crc_err=0
[BIO] seq=249 | ir[0]=     281 ecg[0]=     0 | total=84 | crc_err=0
[AUDIO] seq=250 | pcg[0]=    4583 pcg[31]=     674 | total=85 | crc_err=0
[BIO] seq=250 | ir[0]=     193 ecg[0]=  3928 | total=85 | crc_err=0
[AUDIO] seq=251 | pcg[0]=    4866 pcg[31]=    2502 | total=86 | crc_err=0
[BIO] seq=251 | ir[0]=     273 ecg[0]=   304 | total=86 | crc_err=0
[AUDIO] seq=252 | pcg[0]=    3944 pcg[31]=   -1877 | total=87 | crc_err=0
[BIO] seq=252 | ir[0]=     315 ecg[0]=  2624 | total=87 | crc_err=0
[AUDIO] seq=253 | pcg[0]=   -5547 pcg[31]=   -4020 | total=88 | crc_err=0
[BIO] seq=253 | ir[0]=     336 ecg[0]=  3768 | total=88 | crc_err=0
[AUDIO] seq=254 | pcg[0]=   -3761 pcg[31]=    5000 | total=89 | crc_err=0
[BIO] seq=254 | ir[0]=     193 ecg[0]=     0 | total=89 | crc_err=0
[AUDIO] seq=255 | pcg[0]=    6498 pcg[31]=    5011 | total=90 | crc_err=0
[BIO] seq=255 | ir[0]=     304 ecg[0]=     0 | total=90 | crc_err=0
[AUDIO] seq=0 | pcg[0]=    3138 pcg[31]=   -4629 | total=91 | crc_err=0
[BIO] seq=0 | ir[0]=     269 ecg[0]=   260 | total=91 | crc_err=0
[AUDIO] seq=1 | pcg[0]=   -9632 pcg[31]=   -2685 | total=92 | crc_err=0
[BIO] seq=1 | ir[0]=     290 ecg[0]=  2680 | total=92 | crc_err=0
[AUDIO] seq=2 | pcg[0]=   -2479 pcg[31]=    3151 | total=93 | crc_err=0
[BIO] seq=2 | ir[0]=     333 ecg[0]=  3688 | total=93 | crc_err=0
[AUDIO] seq=3 | pcg[0]=    4224 pcg[31]=     466 | total=94 | crc_err=0
[BIO] seq=3 | ir[0]=     420 ecg[0]=     0 | total=94 | crc_err=0
[AUDIO] seq=4 | pcg[0]=    7271 pcg[31]=   -1815 | total=95 | crc_err=0
[BIO] seq=4 | ir[0]=     477 ecg[0]=  3904 | total=95 | crc_err=0
[AUDIO] seq=5 | pcg[0]=   -2736 pcg[31]=   -9920 | total=96 | crc_err=0
[BIO] seq=5 | ir[0]=     249 ecg[0]=   216 | total=96 | crc_err=0
[AUDIO] seq=6 | pcg[0]=   -3207 pcg[31]=    1754 | total=97 | crc_err=0
[BIO] seq=6 | ir[0]=     232 ecg[0]=  2764 | total=97 | crc_err=0
[AUDIO] seq=7 | pcg[0]=    2864 pcg[31]=    6962 | total=98 | crc_err=0
[BIO] seq=7 | ir[0]=     421 ecg[0]=  3576 | total=98 | crc_err=0
[AUDIO] seq=8 | pcg[0]=    3005 pcg[31]=     -96 | total=99 | crc_err=0
[BIO] seq=8 | ir[0]=     421 ecg[0]=     0 | total=99 | crc_err=0
[AUDIO] seq=9 | pcg[0]=   -3627 pcg[31]=   -9673 | total=100 | crc_err=0
[BIO] seq=9 | ir[0]=     501 ecg[0]=  3912 | total=100 | crc_err=0
[AUDIO] seq=10 | pcg[0]=   -3002 pcg[31]=    1385 | total=101 | crc_err=0
[BIO] seq=10 | ir[0]=     322 ecg[0]=   186 | total=101 | crc_err=0
[AUDIO] seq=11 | pcg[0]=    6238 pcg[31]=    6945 | total=102 | crc_err=0
[BIO] seq=11 | ir[0]=     200 ecg[0]=  2832 | total=102 | crc_err=0
[AUDIO] seq=12 | pcg[0]=    1287 pcg[31]=   -2091 | total=103 | crc_err=0
[BIO] seq=12 | ir[0]=     272 ecg[0]=  3520 | total=103 | crc_err=0
[AUDIO] seq=13 | pcg[0]=   -1402 pcg[31]=   -2607 | total=104 | crc_err=0
[BIO] seq=13 | ir[0]=     275 ecg[0]=     0 | total=104 | crc_err=0
[AUDIO] seq=14 | pcg[0]=   -3071 pcg[31]=    4068 | total=105 | crc_err=0
[BIO] seq=14 | ir[0]=     335 ecg[0]=  3664 | total=105 | crc_err=0
[AUDIO] seq=15 | pcg[0]=    6600 pcg[31]=    5444 | total=106 | crc_err=0
[BIO] seq=15 | ir[0]=     464 ecg[0]=   165 | total=106 | crc_err=0
[AUDIO] seq=16 | pcg[0]=    4456 pcg[31]=   -4232 | total=107 | crc_err=0
[BIO] seq=16 | ir[0]=     284 ecg[0]=  2772 | total=107 | crc_err=0
[AUDIO] seq=17 | pcg[0]=   -4888 pcg[31]=   -9292 | total=108 | crc_err=0
[BIO] seq=17 | ir[0]=     284 ecg[0]=  3428 | total=108 | crc_err=0
[AUDIO] seq=18 | pcg[0]=   -5472 pcg[31]=     325 | total=109 | crc_err=0
[BIO] seq=18 | ir[0]=     289 ecg[0]=    30 | total=109 | crc_err=0
[AUDIO] seq=19 | pcg[0]=    3897 pcg[31]=    9260 | total=110 | crc_err=0
[BIO] seq=19 | ir[0]=     309 ecg[0]=  3936 | total=110 | crc_err=0
