ECG,RED,IR,PCG
2808,103626,73845,0
2888,103653,73809,0
2976,103589,73759,0
3056,103557,73881,0
3148,103642,73815,0
3240,103625,73832,0
3322,103565,73808,0
3400,103633,73808,0
3480,103619,73883,0
3550,103619,73815,0
3608,103631,73777,0
3662,103623,73850,0
3692,103632,73833,0
3705,103623,73797,0
3692,103567,73873,0
3666,103680,73817,0
3644,103617,73827,0
3608,103563,73866,0
3564,103645,73828,0
3514,103602,73870,0
3464,103651,73805,0
3404,103568,73831,0
3336,103621,73876,0
3260,103598,73825,0
3180,103594,73856,0
3100,103678,73808,0
3008,103602,73858,0
2952,103601,73854,0
2886,103632,73823,0
2824,103648,73869,0
2764,103655,73827,0
2710,103617,73801,0
2672,103602,73897,0
2618,103662,73828,0
2558,103619,73847,0
2508,103560,73841,0
2464,103652,73865,0
2388,103596,73876,0
2388,103659,73827,0
2358,103639,73795,0
2320,103624,73863,0
2269,103640,73856,0
2212,103603,73820,0
2180,103622,73891,0
2148,103660,73831,0
2126,103632,73869,0
2120,103561,73880,0
2089,103659,73836,0
2068,103652,73875,0
2044,103638,73841,0
2028,103627,73854,0
1985,103583,73868,0
1992,103631,73879,0
1980,103633,73811,0
1978,103630,73830,0
1956,103624,73875,0
1944,103609,73884,0
1932,103686,73837,0
1928,103653,73810,0
1922,103627,73871,0
1904,103646,73895,0
1892,103614,73836,0
1882,103624,73881,0
1876,103686,73845,0
1864,103626,73876,0
1869,103570,73897,0
1874,103651,73855,0
1847,103631,73879,0
1844,103616,73847,0
1842,103646,73873,0
1848,103590,73920,0
1848,103649,73849,0
1853,103659,73812,0
1864,103624,73895,0
1828,103658,73893,0
1858,103610,73876,0
1846,103600,73877,0
1842,103692,73847,0
1904,103618,73884,0
1893,103641,73887,0
1904,103636,73833,0
1902,103666,73894,0
1900,103629,73873,0
1906,103617,73866,0
1904,103644,73886,0
1914,103583,73853,0
1900,103675,73883,0
1910,103640,73846,0
1906,103626,73902,0
1912,103633,73870,0
1919,103642,73855,0
1924,103649,73904,0
1926,103655,73848,0
1933,103618,73852,0
1934,103587,73938,0
1952,103682,73871,0
1956,103640,73853,0
1960,103589,73883,0
1958,103682,73891,0
1966,103621,73908,0
1928,103688,73860,0
1961,103640,73825,0
1960,103624,73920,0
1962,103646,73912,0
1956,103634,73872,0
1958,103611,73907,0
1904,103669,73865,0
1920,103625,73916,0
1916,103606,73894,0
1918,103672,73881,0
1956,103633,73906,0
1954,103664,73861,0
1954,103624,73871,0
1940,103595,73923,0
1964,103636,73910,0
1964,103633,73887,0
2010,103639,73877,0
1984,103610,73905,0
1990,103615,73882,0
1988,103657,73886,0
1992,103592,73939,0
1994,103686,73891,0
1990,103618,73935,0
1996,103608,73905,0
1970,103684,73891,0
2000,103654,73900,0
1992,103665,73915,0
1994,103619,73889,0
1996,103658,73937,0
2040,103690,73905,0
2002,103633,73863,0
2004,103606,73950,0
2014,103672,73920,0
2058,103669,73913,0
2020,103632,73902,0
2026,103664,73891,0
2028,103624,73969,0
2008,103660,73911,0
2008,103690,73864,0
2008,103643,73941,0
2014,103670,73922,0
2017,103632,73904,0
2042,103617,73966,0
2036,103720,73906,0
2040,103652,73917,0
2064,103628,73934,0
2036,103666,73937,0
2034,103688,73932,0
2028,103652,73935,0
2052,103636,73942,0
2026,103652,73954,0
2036,103612,73949,0
2052,103652,73918,0
2053,103687,73920,0
2064,103655,73968,0
2068,103661,73955,0
2078,103664,73919,0
2076,103693,73969,0
2080,103702,73907,0
2080,103646,73918,0
2090,103607,74000,0
2092,103693,73937,0
2043,103675,73952,0
2038,103648,73915,0
2077,103693,73965,0
2074,103650,73990,0
2076,103706,73937,0
2061,103682,73904,0
2076,103665,73974,0
2072,103690,73974,0
2028,103642,73944,0
2042,103652,73991,0
2042,103714,73947,0
2040,103658,73989,0
2077,103622,73982,0
2085,103683,73954,0
2064,103696,73981,0
2090,103708,73945,0
2106,103683,74004,0
2100,103647,73981,0
2100,103677,73965,0
