ECG,RED,IR,PCG
2320,108703,75650,0
2314,108703,75650,0
2292,108703,75650,0
2336,108703,75650,0
2296,108703,75650,0
2445,108703,75650,0
2309,108687,75676,0
2308,108687,75676,0
2314,108687,75676,0
2320,108687,75676,0
2268,108566,75470,0
2272,108483,75410,0
2310,108485,75479,0
2308,108558,75471,0
2304,108503,75466,0
2304,108523,75446,0
2298,108512,75419,0
2306,108474,75457,0
2312,108525,75427,0
2306,108498,75464,0
2304,108521,75434,0
2304,108499,75439,0
2306,108464,75407,0
2314,108501,75398,0
2294,108494,75463,0
2289,108517,75397,0
2290,108479,75420,0
2288,108500,75417,0
2280,108473,75362,0
2280,108438,75424,0
2280,108533,75401,0
2276,108459,75415,0
2274,108507,75370,0
2288,108461,75396,0
2282,108411,75383,0
2264,108482,75367,0
2228,108443,75403,0
2288,108481,75404,0
2244,108453,75378,0
2240,108453,75378,0
2228,108453,75378,0
2216,108453,75378,0
2224,108453,75378,0
2224,108453,75378,0
2227,108453,75378,0
2226,108453,75319,0
2226,108450,75353,0
2232,108450,75353,0
2228,108450,75353,0
2249,108450,75353,0
2234,108450,75353,0
2248,108450,75353,0
2244,108450,75353,0
2246,108427,75356,0
2248,108427,75356,0
2248,108427,75356,0
2304,108427,75356,0
2244,108427,75356,0
2244,108427,75356,0
2250,108427,75356,0
2292,108429,75309,0
2267,108429,75309,0
2276,108429,75309,0
2281,108429,75309,0
2284,108429,75309,0
2304,108429,75309,0
2304,108429,75309,0
2294,108429,75326,0
2304,108398,75363,0
2276,108369,75314,0
2282,108370,75292,0
2340,108316,75297,0
2309,108394,75268,0
2317,108387,75337,0
2320,108401,75286,0
2322,108384,75317,0
2317,108390,75278,0
2308,108371,75239,0
2320,108335,75334,0
2317,108417,75288,0
2320,108355,75291,0
2324,108389,75278,0
2312,108383,75259,0
2320,108314,75294,0
2312,108408,75283,0
2312,108374,75317,0
2296,108392,75289,0
2304,108368,75292,0
2296,108333,75300,0
2276,108405,75288,0
2288,108361,75319,0
2266,108386,75280,0
2265,108370,75281,0
2272,108322,75290,0
2228,108380,75272,0
2192,108357,75327,0
2221,108344,75281,0
2217,108344,75281,0
2225,108344,75281,0
2276,108344,75272,0
2210,108359,75256,0
2224,108359,75256,0
2248,108359,75256,0
2250,108359,75256,0
2249,108359,75256,0
2248,108359,75256,0
2260,108359,75256,0
2264,108385,75272,0
2292,108385,75272,0
2272,108385,75272,0
2280,108385,75272,0
2288,108385,75272,0
2294,108385,75272,0
2300,108385,75272,0
2306,108373,75297,0
2309,108373,75297,0
2297,108373,75297,0
2308,108373,75297,0
2336,108373,75297,0
2386,108373,75297,0
2304,108373,75297,0
2337,108373,75299,0
2336,108405,75296,0
2320,108405,75296,0
2338,108405,75296,0
2336,108405,75296,0
2336,108405,75296,0
2322,108405,75296,0
2288,108377,75355,0
2290,108407,75318,0
2328,108410,75315,0
2320,108369,75330,0
2324,108413,75327,0
2312,108363,75293,0
2304,108326,75321,0
2304,108426,75347,0
2290,108379,75341,0
2305,108417,75327,0
2309,108375,75323,0
2308,108352,75303,0
2292,108372,75275,0
2312,108364,75365,0
2308,108411,75314,0
2322,108379,75337,0
2308,108402,75327,0
2306,108364,75277,0
2320,108367,75363,0
2306,108426,75310,0
2306,108367,75353,0
2312,108394,75314,0
2309,108367,75329,0
2314,108323,75325,0
2304,108388,75286,0
2284,108361,75355,0
2246,108395,75318,0
2285,108356,75343,0
2258,108384,75319,0
2252,108397,75288,0
2256,108397,75288,0
2248,108397,75288,0
2384,108397,75288,0
2256,108397,75288,0
2264,108397,75304,0
2252,108333,75307,0
2276,108333,75307,0
2272,108333,75307,0
2268,108333,75307,0
2276,108333,75307,0
2282,108333,75307,0
2256,108333,75307,0
2272,108360,75318,0
2274,108360,75318,0
2276,108360,75318,0
2284,108360,75318,0
2285,108360,75318,0
2300,108360,75318,0
2306,108360,75318,0
2312,108358,75353,0
2320,108358,75353,0
2388,108358,75353,0
2150,108358,75353,0
2360,108358,75353,0
2359,108358,75353,0
2419,108358,75353,0
2352,108358,75319,0
2392,108386,75320,0
2400,108386,75320,0
2374,108386,75320,0
2320,108335,75277,0
2358,108288,75331,0
2328,108362,75288,0
2328,108326,75355,0
2316,108380,75290,0
2312,108322,75295,0
2308,108288,75316,0
2298,108357,75310,0
2296,108322,75321,0
2296,108341,75301,0
2284,108330,75316,0
2296,108337,75309,0
2312,108336,75278,0
2296,108326,75359,0
2296,108375,75312,0
2296,108315,75312,0
2296,108347,75275,0
2280,108323,75260,0
2289,108293,75340,0
2288,108369,75296,0
2290,108340,75329,0
2294,108358,75287,0
2298,108319,75293,0
2338,108287,75308,0
2272,108367,75267,0
2348,108316,75321,0
2308,108349,75296,0
2304,108328,75311,0
2310,108293,75296,0
2336,108324,75264,0
2332,108328,75346,0
2344,108378,75305,0
2320,108337,75351,0
2358,108376,75313,0
2325,108350,75262,0
2348,108372,75320,0
2368,108318,75333,0
2368,108344,75297,0
2362,108333,75250,0
2362,108295,75338,0
2344,108396,75305,0
2356,108339,75344,0
2360,108389,75301,0
2364,108332,75314,0
2356,108301,75302,0
2353,108388,75295,0
2344,108344,75348,0
2354,108388,75313,0
2320,108340,75327,0
2336,108332,75317,0
2336,108359,75287,0
2324,108357,75356,0
2316,108388,75322,0
2328,108337,75343,0
2312,108392,75326,0
2304,108360,75273,0
2290,108342,75349,0
2284,108387,75335,0
2258,108346,75338,0
2252,108346,75338,0
2260,108353,75341,0
2256,108353,75341,0
2252,108353,75341,0
2249,108353,75341,0
2248,108353,75341,0
2258,108353,75341,0
2272,108353,75341,0
2265,108353,75355,0
2280,108340,75278,0
2288,108340,75278,0
2312,108340,75278,0
2272,108340,75278,0
2316,108340,75278,0
2320,108340,75278,0
2320,108340,75365,0
2320,108362,75337,0
2328,108362,75337,0
2329,108362,75337,0
2336,108362,75337,0
2340,108362,75337,0
2384,108362,75337,0
2374,108362,75337,0
2360,108348,75352,0
2406,108348,75352,0
2368,108348,75352,0
2578,108348,75352,0
2396,108348,75352,0
2388,108348,75352,0
2438,108348,75352,0
2392,108386,75329,0
2308,108362,75356,0
2336,108346,75388,0
2336,108409,75345,0
2348,108378,75399,0
2336,108395,75352,0
2332,108380,75367,0
2330,108329,75341,0
2325,108399,75326,0
2332,108379,75385,0
2346,108396,75362,0
2320,108387,75376,0
2312,108396,75359,0
2328,108388,75310,0
2312,108390,75399,0
2305,108411,75350,0
2312,108350,75371,0
2306,108418,75355,0
2280,108380,75319,0
2472,108336,75395,0
2304,108426,75362,0
2312,108369,75398,0
2320,108422,75351,0
