2056,60299,52897,-38
2073,60295,52894,-41
2032,60252,52883,22
2020,60175,52861,8
2112,60111,52839,50
2020,60075,52825,28
2030,60062,52823,48
2064,60070,52826,-4
2060,60084,52830,-37
2072,60108,52834,-44
2028,60131,52845,16
2018,60149,52852,2
2130,60172,52857,65
2036,60194,52862,49
2046,60204,52865,62
2096,60204,52867,-30
2112,60202,52864,-21
2108,60203,52865,-36
2100,60208,52873,28
2092,60222,52875,20
2140,60235,52878,46
1976,60257,52880,1
1982,60278,52893,16
3684,60294,52895,-30
2176,60302,52901,-44
2010,60312,52900,-50
1936,60335,52907,19
1940,60350,52915,18
1968,60365,52920,21
1964,60382,52929,-15
1989,60394,52926,-11
2008,60404,52928,-31
2044,60388,52923,2
2054,60333,52905,-16
1988,60257,52880,19
1988,60186,52859,23
2034,60149,52849,13
2018,60144,52844,-24
2058,60156,52851,-15
2026,60175,52857,-33
2076,60185,52859,-11
2076,60194,52860,-26
1796,60210,52866,29
1994,60231,52869,28
2064,60253,52883,18
2028,60259,52882,-15
2044,60260,52878,-9
2040,60257,52880,-33
2188,60258,52879,5
2092,60259,52880,-7
2032,60264,52880,39
2046,60271,52882,37
2064,60283,52886,43
1980,60290,52886,-62
1993,60305,52892,-52
3592,60314,52896,-45
2056,60333,52899,-6
2054,60349,52904,-12
1916,60366,52909,77
1938,60379,52913,87
1942,60392,52918,14
1968,60406,52922,-31
1999,60421,52928,-30
1969,60422,52926,-26
2040,60392,52916,14
2032,60320,52890,14
1980,60239,52874,37
1987,60174,52847,39
2008,60143,52834,11
2072,60146,52837,-38
2066,60157,52841,-42
2004,60170,52845,-12
2072,60173,52843,27
2054,60186,52849,28
2040,60209,52853,28
2047,60219,52852,35
2074,60238,52867,-17
2068,60251,52868,-29
2072,60253,52865,-35
2084,60253,52869,25
2116,60255,52863,37
2112,60259,52871,34
2106,60275,52873,7
2105,60295,52876,18
2088,60315,52883,-23
2464,60338,52892,-12
2564,60358,52895,-18
2440,60371,52897,-8
1984,60391,52905,9
1980,60409,52911,5
1976,60430,52914,6
1986,60446,52921,20
1960,60453,52924,-8
2040,60465,52927,-40
2145,60477,52929,-41
2020,60457,52922,-3
2072,60406,52904,11
2052,60323,52878,8
2036,60234,52847,11
2060,60183,52829,18
2026,60165,52822,-11
2074,60171,52826,-11
2072,60173,52823,-26
2024,60184,52828,12
1836,60189,52832,29
2076,60196,52832,35
2064,60200,52830,6
2046,60207,52837,10
2017,60216,52839,-16
2140,60208,52832,-8
2136,60201,52829,-17
2144,60193,52827,14
2080,60189,52821,21
2068,60182,52821,37
2088,60185,52825,-9
2096,60189,52825,-2
2016,60192,52824,-26
2916,60202,52824,1
2780,60208,52830,-15
1952,60220,52831,24
1944,60228,52834,0
1936,60236,52837,15
1970,60252,52836,-11
1980,60265,52848,-2
1928,60276,52849,-32
2024,60277,52851,2
2016,60257,52847,-12
1976,60184,52820,36
1986,60089,52789,-1
1975,59995,52763,17
2004,59928,52738,-37
2021,59900,52729,-24
1960,59895,52731,-11
2020,59906,52727,24
2042,59916,52732,17
2016,59939,52740,29
2036,59951,52742,0
