RED,IR
26058,30108
26064,30100
26053,30092
26059,30096
26056,30089
26060,30103
26058,30096
26061,30112
26063,30106
26060,30102
26060,30115
26063,30112
26062,30111
26063,30109
26062,30110
26062,30112
26065,30101
26066,30105
26065,30114
26065,30105
26058,30102
26066,30115
26065,30104
26062,30109
26063,30112
26056,30112
26070,30118
26066,30109
26067,30127
26071,30112
26070,30128
26070,30120
26073,30132
26072,30126
26071,30129
26072,30131
26075,30137
26078,30138
26070,30128
26083,30145
26073,30141
26072,30144
26085,30141
26076,30140
26078,30151
26086,30153
26075,30141
26085,30155
26078,30149
26082,30163
26087,30157
26077,30158
26088,30168
26092,30168
26086,30163
26090,30173
26092,30173
26086,30174
26097,30172
26083,30173
26092,30187
26093,30179
26090,30179
26094,30189
26097,30188
26097,30189
26096,30194
26093,30196
26104,30208
26101,30192
26092,30200
26107,30203
26102,30207
26106,30206
26112,30208
26098,30200
26091,30186
26086,30162
26081,30146
26071,30127
26068,30112
26063,30091
26058,30082
26052,30074
26055,30078
26060,30071
26055,30077
26059,30080
26063,30079
26070,30095
26066,30097
26064,30095
26061,30096
26072,30102
26066,30098
26064,30104
26072,30098
26075,30093
26063,30093
26063,30093
26067,30092
26069,30093
26065,30094
26071,30102
26079,30105
26069,30103
26077,30111
26072,30109
26072,30102
26072,30110
26074,30101
26068,30096
26074,30101
26073,30096
26061,30100
26079,30109
26071,30099
26068,30096
26074,30106
26075,30098
26070,30107
26080,30102
26069,30103
26077,30116
26078,30111
26071,30109
26076,30117
26080,30113
26073,30116
26082,30120
26072,30118
26079,30126
26089,30125
26078,30128
26085,30134
26084,30128
26078,30128
26082,30132
26081,30138
26089,30140
26086,30133
26085,30140
26087,30142
26092,30145
26082,30140
26086,30150
26093,30145
26083,30146
26095,30149
26084,30146
26097,30156
26090,30153
26092,30159
26093,30157
26096,30157
26100,30166
26094,30163
26092,30171
26101,30172
26095,30166
26094,30170
26101,30180
26096,30175
26101,30186
26102,30173
26109,30187
26100,30180
26101,30187
26094,30170
26088,30151
26084,30139
26081,30114
26069,30094
26068,30085
26061,30071
26052,30054
26055,30063
26052,30050
26059,30061
26057,30057
26065,30074
26065,30062
26072,30083
26071,30081
26070,30075
26071,30083
26066,30077
26074,30086
26072,30082
26074,30082
26065,30078
26068,30077
26063,30068
26066,30086
26075,30082
26068,30087
26078,30093
26076,30094
26073,30092
26076,30100
26079,30092
26074,30090
26074,30097
26070,30089
26075,30088
26076,30084
26071,30084
26066,30087
26076,30091
26083,30091
26075,30097
26081,30094
26076,30098
26075,30099
26085,30100
26077,30103
26086,30113
26084,30106
26083,30110
26084,30117
26085,30114
26085,30119
26087,30117
26082,30122
26088,30124
26088,30128
26090,30123
26086,30125
26090,30130
26087,30127
26087,30127
26095,30135
26093,30136
26093,30133
26092,30137
26093,30138
26093,30145
26095,30138
26093,30150
26097,30142
26097,30149
26098,30150
26095,30150
26101,30150
26098,30161
26098,30159
26099,30160
26098,30155
26091,30162
26101,30167
26106,30170
26107,30170
26109,30179
26111,30182
26106,30176
26107,30186
26114,30184
26112,30186
26113,30192
26111,30186
26111,30190
26110,30190
26107,30183
26106,30168
26097,30151
26087,30124
26079,30109
26067,30085
26073,30075
26067,30065
26063,30059
26066,30057
26067,30058
26069,30065
26070,30067
26074,30072
26072,30075
26074,30080
26078,30084
26077,30086
26081,30083
26067,30080
26074,30086
26078,30082
26076,30084
26076,30083
26075,30079
26077,30085
26076,30087
26078,30087
26077,30092
26082,30094
26083,30099
26085,30102
26086,30101
26082,30101
26089,30103
26086,30101
26087,30091
26084,30102
26078,30095
26082,30098
26085,30100
26083,30096
26087,30104
26081,30097
26091,30103
26084,30101
26089,30106
26094,30114
26089,30116
26094,30118
26091,30109
26090,30119
26089,30117
26085,30117
26094,30119
26093,30129
26096,30124
26094,30128
26091,30128
26095,30139
26102,30134
26096,30126
26101,30133
26099,30140
26098,30142
26103,30143
26098,30134
26099,30148
26106,30151
26103,30138
26103,30152
26105,30150
26102,30144
26103,30160
26105,30151
26104,30155
26106,30166
26113,30165
26110,30163
26108,30169
26107,30176
26109,30173
26116,30171
26113,30171
26108,30180
26118,30184
26119,30185
26110,30185
26121,30189
26111,30192
26119,30195
26122,30189
26122,30202
26120,30206
26129,30212
26123,30195
26117,30205
26120,30186
26107,30170
26101,30148
26090,30125
26081,30108
26079,30083
26072,30072
26073,30066
26073,30057
26062,30054
26072,30059
26067,30060
26074,30067
26077,30067
26076,30077
26081,30074
26076,30082
26085,30087
26081,30080
26082,30085
26080,30083
26080,30078
26077,30074
26078,30073
26076,30073
26080,30078
26085,30078
26077,30082
26086,30088
26080,30091
26082,30085
26083,30091
26085,30090
26081,30084
26089,30095
26085,30083
26076,30085
26083,30082
26078,30086
26085,30089
26082,30085
26078,30090
26084,30090
26079,30085
26080,30093
26084,30097
26088,30089
26084,30092
26086,30097
26092,30095
26082,30098
26091,30107
26090,30101
26089,30101
26086,30114
26090,30107
26093,30113
26089,30109
26095,30109
26084,30118
26092,30116
26090,30114
26094,30124
26096,30125
26094,30122
26096,30123
26093,30126
26098,30129
26100,30130
26095,30132
26097,30137
26099,30136
26103,30133
26098,30136
26097,30146
26102,30142
26102,30139
26101,30145
26101,30156
26108,30150
26107,30150
26110,30157
26113,30157
26105,30159
26110,30167
26112,30162
26113,30165
26114,30170
26116,30169
26116,30177
26114,30181
26116,30174
26118,30174
26107,30162
26098,30147
26091,30125
26092,30107
26082,30085
26067,30068
26069,30058
26064,30047
26067,30037
26061,30038
26068,30046
26067,30043
26069,30049
26068,30055
26069,30061
26078,30062
26079,30064
26070,30069
26085,30076
26077,30063
26077,30066
26078,30068
26076,30061
26078,30063
26073,30058
26081,30072
26083,30066
26079,30068
26081,30080
26086,30079
26083,30075
26076,30078
26081,30080
26088,30079
26080,30072
26081,30073
26081,30078
26084,30080
26086,30077
26079,30073
26077,30079
26083,30082
26082,30081
26085,30086
26086,30086
26087,30084
26086,30085
26086,30090
26086,30100
26091,30094
26093,30097
26090,30101
26086,30104
26098,30104
26093,30102
26093,30108
26094,30113
26097,30109
26089,30112
26094,30121
26098,30115
26100,30113
26097,30125
26097,30122
26098,30124
26102,30126
26101,30127
26095,30128
26100,30139
26106,30133
26106,30134
26103,30138
26106,30146
26103,30143
26102,30146
26111,30152
26107,30151
26110,30153
26112,30152
26106,30158
26115,30161
26113,30160
26111,30161
26110,30173
26114,30170
26113,30169
