RED,IR
75325,107250
75374,107242
75345,107308
75348,107263
75351,107284
75321,107232
75339,107228
75311,107296
75406,107246
75368,107295
75387,107277
75345,107320
75346,107245
75365,107264
75304,107247
75373,107253
75332,107316
75346,107256
75344,107214
75345,107275
75320,107266
75328,107244
75361,107255
75356,107280
75346,107242
75332,107252
75267,107267
75384,107230
75340,107301
75366,107253
75329,107320
75328,107255
75343,107266
75341,107237
75318,107228
75284,107269
75342,107244
75325,107266
75326,107215
75297,107243
75272,107268
75318,107214
75307,107243
75296,107217
75289,107205
75258,107238
75343,107229
75285,107222
75299,107217
75226,107238
75247,107207
75267,107216
75277,107204
75252,107208
75212,107199
75241,107156
75260,107226
75252,107182
75218,107230
75166,107190
75255,107133
75228,107218
75236,107177
75166,107226
75134,107162
75247,107156
75198,107188
75205,107160
75159,107177
75188,107136
75192,107167
75170,107117
75156,107103
75139,107156
75180,107139
75149,107151
75147,107120
75113,107102
75092,107157
75162,107103
75126,107140
75092,107142
75094,107137
75101,107132
75118,107084
75084,107103
75077,107107
75054,107086
75013,107104
75120,107049
75049,107114
75107,107111
75056,107143
75067,107076
75047,107063
75012,107092
75059,107105
75009,107113
75032,107076
75027,107010
74996,107106
75033,107089
74977,107090
75042,107049
74998,107003
74940,107080
75030,107038
74973,107092
75028,107033
74979,107065
74991,107057
74935,107075
74953,107031
74968,107019
74944,107050
74930,107060
74936,107012
74945,106998
74972,106970
74918,107058
74942,107021
74908,107017
74908,107014
74969,106991
74902,107078
74924,107008
74891,107003
74940,106972
74900,106967
74845,107015
74900,106945
74892,107022
74947,106966
74880,107029
74916,107001
74861,106978
74861,106983
74925,106949
74866,107028
74894,106996
74852,106928
74877,106986
74889,106953
74863,107026
74881,106980
74859,106948
74890,106974
74883,106950
74840,106995
74842,106976
74876,107007
74896,106963
74844,107004
74873,106990
74850,106940
74851,106958
74883,106940
74835,107008
74826,106960
74862,106917
74871,106984
74870,106933
74837,106994
74767,106947
74874,106915
74850,107002
74861,106942
74829,106996
74837,106923
74833,106964
74811,106924
74842,106886
74802,106986
74855,106932
74836,106973
74817,106929
74838,106871
74853,106978
74790,106932
74835,106939
74818,106930
74831,106954
74810,106965
74853,106941
74836,106945
74834,106919
74833,106902
74779,106946
74848,106880
74825,106968
74857,106942
74803,106982
74830,106901
74842,106938
74778,106901
74848,106929
74813,106954
74836,106910
74825,106895
74810,106926
74852,106951
74804,106952
74812,106916
74858,106855
74812,106955
74847,106944
74794,106956
74857,106913
74811,106940
74829,106932
74805,106931
74791,106931
74851,106906
74804,106904
74771,106943
74814,106874
74797,106967
74850,106887
74801,106950
74756,106940
74826,106913
74811,106960
74837,106915
74793,106927
74743,106919
74823,106883
74805,106967
74831,106882
74786,106957
74811,106912
74794,106941
74835,106913
74811,106851
74784,106957
74830,106921
74803,106950
74809,106891
74809,106861
74789,106977
74800,106920
74808,106950
74805,106898
74797,106898
74803,106970
74774,106900
74802,106919
74829,106892
74782,106947
74805,106929
74776,106933
74765,106896
74818,106858
74775,106986
74803,106901
74784,106927
74763,106896
74848,106881
74787,106987
74807,106915
74801,106898
74786,106911
74842,106909
74776,106951
74796,106917
74813,106873
